station_name,station_number,line_number,line_number.alt,perehod,perehod.alt,depth,opening_date,potok,latitude,longitude
Беговая,8,7,Таганско-Краснопресненская,,,-9,30.12.1972,38600,"55,77388889","37,54666667"
Улица 1905 года,9,7,Таганско-Краснопресненская,,,-11,30.12.1972,80500,"55,765","37,56138889"
Баррикадная,10,7,Таганско-Краснопресненская,5,Переход на станцию Краснопресненская Кольцевой линии,-30,30.12.1972,49500,"55,76111111","37,57944444"
Калужская,19,6,Калужско-Рижская,,,-10,12.08.1974,86600,"55,65722222","37,54055556"
Беляево,20,6,Калужско-Рижская,,,-12,12.08.1974,53400,"55,64277778","37,52583333"
Пушкинская,11,7,Таганско-Краснопресненская,2,Переход на станцию Тверская Замоскворецкой линии,-51,17.12.1975,66900,"55,765","37,60777778"
Кузнецкий Мост,12,7,Таганско-Краснопресненская,1,Переход на станцию Лубянка Сокольнической линии,"-39,5",17.12.1975,14900,"55,76055556","37,62583333"
Планерная,1,7,Таганско-Краснопресненская,,,-6,30.12.1975,56200,"55,86083333","37,43638889"
Сходненская,2,7,Таганско-Краснопресненская,,,-6,30.12.1975,83200,"55,85055556","37,43972222"
Тушинская,3,7,Таганско-Краснопресненская,,,"-10,5",30.12.1975,42400,"55,82666667","37,43666667"
Щукинская,5,7,Таганско-Краснопресненская,,,-13,30.12.1975,90700,"55,80861111","37,46416667"
Медведково,1,6,Калужско-Рижская,,,-10,30.09.1978,50200,"55,88722222","37,66138889"
Бабушкинская,2,6,Калужско-Рижская,,,-10,30.09.1978,65100,"55,86944444","37,66444444"
Свиблово,3,6,Калужско-Рижская,,,-8,30.09.1978,45500,"55,85527778","37,65277778"
Ботанический сад,4,6,Калужско-Рижская,14,Переход на станцию Ботанический сад Московского центрального кольца,-7,30.09.1978,42500,"55,845","37,63833333"
Тверская,9,2,Замоскворецкая,7,Переход на станцию Пушкинская Таганско-Краснопресненской линии,-42,20.07.1979,50900,"55,76472222","37,60638889"
Марксистская,2,8,Калининская,5,Переход на станцию Таганская Кольцевой линии,-60,30.12.1979,30900,"55,74111111","37,65416667"
Площадь Ильича,3,8,Калининская,10,Переход на станцию Римская Люблинско-Дмитровской линии,-46,30.12.1979,32700,"55,74722222","37,6825"
Авиамоторная,4,8,Калининская,,,-53,30.12.1979,37100,"55,7525","37,71916667"
Шоссе Энтузиастов,5,8,Калининская,14,Переход на станцию Шоссе Энтузиастов Московского центрального кольца,-53,30.12.1979,36200,"55,7575","37,75"
Перово,6,8,Калининская,,,-9,30.12.1979,68800,"55,75111111","37,78666667"
Новогиреево,7,8,Калининская,,,-9,30.12.1979,57000,"55,75166667","37,81666667"
Шаболовская,14,6,Калужско-Рижская,,,"-46,5",06.11.1980,47100,"55,71972222","37,60833333"
Серпуховская,14,9,Серпуховско-Тимирязевская,5,Переход на станцию Добрынинская Кольцевой линии,-43,08.11.1983,24700,"55,72805556","37,62472222"
