name,first_week,year,inflation,first_week_box
Дабл трабл,28.05.2015,2015,"1,09096",12272951
Новые приключения Аладдина,12.02.2016,2016,"1,04",12826890
Пластик,19.06.2014,2014,"1,202238",11065975
Вакансия на жертву,03.05.2007,2007,"2,339802",5683960
Я плюю на ваши могилы 2,05.09.2013,2013,"1,328473",10008040
Бой без правил,09.07.2009,2009,"1,80897",7343318
13 часов: Тайные солдаты Бенгази,29.01.2016,2016,"1,04",12750918
13 часов: Тайные солдаты Бенгази,29.01.2016,2016,"1,04",12750918
Оно приходит ночью,25.08.2017,2017,1,13213169
Ролли и Эльф: Невероятные приключения,03.01.2008,2008,"2,018811",6531796
Исчезнувшая империя,14.02.2008,2008,"2,018811",6523297
Видения,10.09.2015,2015,"1,09096",12043356
Уличные танцы 3: Все звезды,06.06.2013,2013,"1,328473",9866395
З/Л/О,06.09.2012,2012,"1,434751",9131624
Как заниматься любовью по-английски,30.07.2015,2015,"1,09096",12004885
Звездная пыль,30.08.2007,2007,"2,339802",5596322
Замуж на 2 дня,06.12.2012,2012,"1,434751",9117612
Дневники мертвецов,03.04.2008,2008,"2,018811",6477433
Бедная богатая девочка,19.01.2012,2012,"1,434751",9038736
Секретный агент,28.04.2017,2017,1,12959742
Королева,01.03.2007,2007,"2,339802",5520324
Страна ОЗ,04.12.2015,2015,"1,09096",11838437
Голем,20.10.2017,2017,1,12908820
Макс и его компания,01.05.2008,2008,"2,018811",6389556
Атлантида,01.12.2017,2017,1,12850742
Убийца,27.11.2015,2015,"1,09096",11771399
"Я знаю, кто убил меня",11.10.2007,2007,"2,339802",5486095
Первобытное зло,12.04.2007,2007,"2,339802",5451053
Хитрюга Джек,24.07.2008,2008,"2,018811",6311954
Чёрное море,29.01.2015,2015,"1,09096",11641368
Лузеры,01.07.2010,2010,"1,673423",7575208
Посланники,14.06.2007,2007,"2,339802",5401226
Млечный путь,08.01.2016,2016,"1,04",12144869
Сламбер: Лабиринты сна,12.01.2018,2018,1,12621015
Перестрелка,28.04.2017,2017,1,12616395
Санта и компания,15.12.2017,2017,1,12556405
Голодный кролик атакует,12.01.2012,2012,"1,434751",8749518
Ветер крепчает,20.02.2014,2014,"1,202238",10418479
"Колобанга. Привет, Интернет!",01.12.2017,2017,1,12512882
Зачётный препод 2,29.01.2016,2016,"1,04",12028534
Моя девушка – монстр,28.04.2017,2017,1,12454981
Переростки,01.12.2011,2011,"1,539488",8049156
2pac: Легенда,28.07.2017,2017,1,12372672
Эластико,25.11.2016,2016,"1,04",11841811
Хорошо быть тихоней,20.09.2012,2012,"1,434751",8582039
Помню – не помню!,01.04.2016,2016,"1,04",11779629
Обещание,28.04.2017,2017,1,12247849
Похищение,01.03.2007,2007,"2,339802",5228590
Пряности и страсти,11.09.2014,2014,"1,202238",10148855
Запрос в друзья,18.03.2016,2016,"1,04",11731552
Ночь живых мертвецов 3D,12.07.2007,2007,"2,339802",5212184
Сексдрайв,16.07.2009,2009,"1,80897",6722562
Оборотень,19.06.2014,2014,"1,202238",10111860
Морган,09.09.2016,2016,"1,04",11683265
Лучшее во мне,13.11.2014,2014,"1,202238",10098667
Сутенер,11.11.2010,2010,"1,673423",7240595
Измена,01.11.2012,2012,"1,434751",8420596
Дрянная девчонка,31.07.2008,2008,"2,018811",5982597
Все любят китов,02.02.2012,2012,"1,434751",8411098
Фауст,09.02.2012,2012,"1,434751",8389161
